[2026-02-27 13:51:45][INFO][Server] listening on port 8080
[2026-03-05 13:18:48][INFO] [Monitor] CPU=83.973955% Mem=4.355469MB TPS=7517
[2026-03-05 13:18:49][INFO] [Monitor] CPU=77.977160% Mem=4.355469MB TPS=7522
[2026-03-05 13:18:50][INFO] [Monitor] CPU=72.936811% Mem=4.355469MB TPS=6935
[2026-03-05 13:18:51][INFO] [Monitor] CPU=67.948408% Mem=4.355469MB TPS=7016
[2026-03-05 13:18:52][INFO] [Monitor] CPU=60.938349% Mem=4.355469MB TPS=6835
[2026-03-05 13:18:53][INFO] [Monitor] CPU=73.963818% Mem=4.355469MB TPS=10453
[2026-03-05 13:18:54][INFO] [Monitor] CPU=69.913350% Mem=4.355469MB TPS=6789
[2026-03-05 13:18:55][INFO] [Monitor] CPU=61.934432% Mem=4.355469MB TPS=7626
[2026-03-05 13:18:56][INFO] [Monitor] CPU=50.962194% Mem=4.355469MB TPS=6370
[2026-03-05 13:18:57][INFO] [Monitor] CPU=65.941542% Mem=4.355469MB TPS=5734
[2026-03-05 13:18:58][INFO] [Monitor] CPU=80.847021% Mem=4.355469MB TPS=8583
[2026-03-05 13:18:59][INFO] [Monitor] CPU=79.986550% Mem=4.355469MB TPS=6984
[2026-03-05 13:19:00][INFO] [Monitor] CPU=78.947659% Mem=4.355469MB TPS=6855
[2026-03-05 13:19:01][INFO] [Monitor] CPU=73.950816% Mem=4.355469MB TPS=7652
[2026-03-05 13:19:02][INFO] [Monitor] CPU=73.904278% Mem=4.355469MB TPS=6830
[2026-03-05 13:19:03][INFO] [Monitor] CPU=76.940320% Mem=4.355469MB TPS=6815
[2026-03-05 13:19:04][INFO] [Monitor] CPU=65.940045% Mem=4.355469MB TPS=7213
[2026-03-05 13:19:05][INFO] [Monitor] CPU=69.970874% Mem=4.355469MB TPS=6051
[2026-03-05 13:19:06][INFO] [Monitor] CPU=72.954378% Mem=4.355469MB TPS=6925
[2026-03-05 13:19:07][INFO] [Monitor] CPU=65.926029% Mem=4.355469MB TPS=6560
[2026-03-05 13:19:08][INFO] [Monitor] CPU=72.896033% Mem=4.355469MB TPS=8016
[2026-03-05 13:19:09][INFO] [Monitor] CPU=74.944235% Mem=4.355469MB TPS=6672
[2026-03-05 13:19:21][INFO] [AsyncLogger] log level updated
[2026-03-05 13:19:22][INFO] [Monitor] CPU=73.955419% Mem=4.355469MB TPS=6437
[2026-03-05 13:19:23][INFO] [Monitor] CPU=70.798713% Mem=4.355469MB TPS=5972
[2026-03-05 13:19:24][INFO] [Monitor] CPU=85.726424% Mem=4.355469MB TPS=7690
[2026-03-05 13:19:25][INFO] [Monitor] CPU=94.970333% Mem=4.355469MB TPS=8715
[2026-03-05 13:19:26][INFO] [Monitor] CPU=91.952547% Mem=4.355469MB TPS=8705
[2026-03-05 13:19:27][INFO] [Monitor] CPU=93.898546% Mem=4.355469MB TPS=8793
[2026-03-05 13:19:28][INFO] [Monitor] CPU=76.881060% Mem=4.355469MB TPS=8350
[2026-03-05 13:19:29][INFO] [Monitor] CPU=85.954746% Mem=4.355469MB TPS=8920
[2026-03-05 13:19:30][INFO] [Monitor] CPU=94.955948% Mem=4.355469MB TPS=8685
[2026-03-05 13:19:31][INFO] [Monitor] CPU=96.911366% Mem=4.355469MB TPS=8967
[2026-03-05 13:19:32][INFO] [Monitor] CPU=94.937720% Mem=4.355469MB TPS=8848
[2026-03-05 13:19:33][INFO] [Monitor] CPU=92.967163% Mem=4.355469MB TPS=8671
[2026-03-05 13:19:34][INFO] [Monitor] CPU=94.967699% Mem=4.355469MB TPS=8855
[2026-03-05 13:19:35][INFO] [Monitor] CPU=93.962270% Mem=4.355469MB TPS=9011
[2026-03-05 13:19:36][INFO] [Monitor] CPU=79.938481% Mem=4.355469MB TPS=7958
[2026-03-05 13:19:37][INFO] [Monitor] CPU=67.762723% Mem=4.355469MB TPS=9775
[2026-03-05 13:19:38][INFO] [Monitor] CPU=61.847173% Mem=4.355469MB TPS=6368
[2026-03-05 13:19:39][INFO] [Monitor] CPU=73.849764% Mem=4.355469MB TPS=5433
